movie_id,rating,votes
15414,5.4,12
15724,6.2,20
16906,5.6,15
31458,7.1,8
35423,6.4,78118
36606,6.5,258
38687,7.4,1566
39442,6.2,129
54724,3.5,1224
56166,2.4,19
57461,4.6,16
58950,6.9,133
58994,5.2,144
59680,4.0,105
59900,6.8,24
60144,5.8,17
60462,4.1,104
60477,7.0,34
60526,3.0,8
60551,7.1,13
60939,5.4,35
60951,4.7,234
61069,7.5,747
61151,6.7,25
61478,6.6,17
61494,4.1,350
61592,2.5,958
61902,7.4,5
62105,7.9,12
62181,6.5,299
62336,6.7,73
62342,6.6,28
62359,7.0,20
62690,6.1,1050
62696,7.6,5
62701,6.2,60
62730,5.0,142
62784,6.2,23
62847,4.9,290
62936,5.8,271
62980,5.8,232
63018,6.0,103
63066,7.2,98
63070,6.5,11
63074,2.3,6
63132,3.4,206
63137,5.6,110
63142,3.3,792
63244,5.6,99
63309,5.8,6
63334,5.9,7
63337,6.3,75
63353,6.1,26
63498,5.6,8
63499,6.5,96
63550,5.7,488
63552,5.6,256
63604,7.0,31
63608,3.6,196
63666,6.9,53
63696,5.7,78
63751,5.4,349
63846,4.7,34
63860,4.8,40
63982,4.2,28
64004,6.1,227
64007,3.8,23
64031,5.9,92
64065,4.0,19
64076,7.4,24
64078,3.5,45
64083,4.2,19
64105,6.6,267
64106,7.5,7566
64111,6.7,274
64121,6.2,34
64126,5.2,181
64140,5.0,211
64143,4.0,10
64144,6.8,98
64150,5.8,49
64165,7.6,3827
64170,4.8,104
64171,5.9,42
64177,7.1,8047
64182,6.6,30
64188,5.2,576
64190,7.0,29
64191,6.1,27
64197,6.3,55
64204,4.7,29
64225,7.0,1217
64261,5.6,32
64270,5.5,15
64273,6.7,909
64279,6.4,51
64283,6.1,116
64285,7.5,7377
64294,6.9,630
64321,4.1,267
64341,6.5,31
64359,6.6,19
64362,3.9,13
64372,5.8,37
64377,7.0,30
64385,7.5,407
64386,6.3,360
64388,6.3,15
64411,5.8,223
64413,3.3,6
64420,6.4,63
64423,6.8,300
64432,4.6,33
64437,7.0,4346
64451,7.6,5262
64465,6.7,214
64491,6.4,25
64494,5.4,1425
64510,5.5,127
64522,6.8,19
64535,6.5,30
64546,7.9,1795
64549,4.3,15
64553,8.1,1390
64554,6.7,118
64574,5.4,309
64582,6.8,215
64585,6.6,13
64586,7.1,12
64592,5.1,25
64598,5.5,834
64607,5.0,35
64624,4.4,1239
64625,5.0,202
64628,7.1,124
64630,4.2,17
64633,6.0,57
64649,6.0,250
64656,5.7,9
64659,4.6,7
64687,4.0,658
64702,5.5,6
64704,6.6,1127
64706,6.4,61
64711,5.7,22
64712,5.3,10
